time,open,high,low,close,volume,atr_norm,norm_return,norm_high_low,norm_body,atr,rsi,ema50,macd,adx,swing_high,swing_low,last_swing_high,last_swing_low,prev_swing_high,structure,bos_bullish,bos_bearish,trend,ob_bullish,ob_bearish,ob_bottom,ob_top,ob_strength,ob_mitigated,active_ob_bull_top,active_ob_bull_bot,active_ob_bear_top,active_ob_bear_bot,inside_ob_bull,inside_ob_bear,fvg_bullish,fvg_bearish,fvg_bull_top,fvg_bull_bot,fvg_bear_top,fvg_bear_bot,active_fvg_bull_top,active_fvg_bull_bot,active_fvg_bear_top,active_fvg_bear_bot,inside_fvg_bull,inside_fvg_bear,sweep_liquidity_high,sweep_liquidity_low,fvg_density,ob_density,range_position,in_premium,in_discount,in_ote_bull,in_ote_bear,is_in_premium,is_in_discount,P_traditional,R1_traditional,S1_traditional,R2_traditional,S2_traditional,P_fibonacci,R1_fibonacci,S1_fibonacci,R2_fibonacci,S2_fibonacci,confluence_score,gold_ema_50,gold_ema_200,gold_trend,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,dxy_rsi,dxy_ema_50,dxy_trend,gold_dxy_corr,inverse_confluence,csm_USD,csm_JPY,csm_base,csm_quote,csm_diff,news_impact_USD,news_impact_JPY,news_impact_net,news_sentiment,news_impact_score,news_impact_base,news_impact_quote,day_of_week,month,hour,is_london_session,is_new_york_session,is_tokyo_session,london_open,new_york_open,london_close,dxy_corr_30d
2014-11-11,114.78099822998048,116.0719985961914,114.63300323486328,114.75299835205078,0,1.5351420811244398,0.0012512551796365298,0.9373694975999286,-0.018239274575284094,1.5351420811244398,88.38358741908168,108.62350663557416,1.961716201097147,53.490525799684555,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,114.11100006103516,113.76799774169922,106.6989974975586,106.3290023803711,114.11100006103516,113.76799774169922,106.6989974975586,106.3290023803711,0,0,0,0,21.0,1.0,2.030057279060503,1,0,0,0,1,0,114.38599904378255,114.8959986368815,114.02299753824869,115.25900014241536,113.51299794514973,114.38599904378255,114.71948546346029,114.0525126241048,114.92551372273762,113.84648436482748,10.0,108.62350663557416,104.28514248512973,1,217.36603066404436,217.8007627253724,216.93129860271625,217.36603066404436,10000.0,77.32138204052627,208.40150497953024,1,0.8969222082226849,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,0,0,1,0,0,0,0.0
2014-11-12,115.7020034790039,115.85700225830078,114.9520034790039,115.72100067138672,0,1.5307143075125527,0.005510845232577806,0.5912264456242783,0.01241067146859259,1.5307143075125527,89.27879809003139,108.9018397350178,2.0808404143343324,58.701144083756105,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,1,0,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,1,0,0,0,22.0,1.0,2.242431698653892,1,0,0,0,1,0,115.15266672770183,115.67233022054037,114.23333485921225,116.59166208902995,113.7136713663737,115.15266672770183,115.70236295572917,114.60297049967448,116.04196586100261,114.26336759440105,30.0,108.9018397350178,104.39893211882382,1,217.29524618628943,217.729836678662,216.86065569391684,217.29524618628943,10000.0,74.34903495720484,208.7502791445012,1,0.9063579259393064,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11,0,0,0,1,0,0,0,0.0
2014-11-13,115.6259994506836,115.85700225830078,115.35800170898438,115.56999969482422,0,1.4865003313337013,-0.0008778141257162162,0.33568815209660835,-0.03767221216098319,1.4865003313337013,86.85697499480041,109.16333620402983,2.138412407608243,62.88623275418305,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,0,0,0,0,21.0,1.0,2.2093029094816763,1,0,0,0,1,0,115.51000213623047,116.06800079345703,115.16300201416016,116.41500091552734,114.6050033569336,115.51000213623047,115.85571166992187,115.16429260253906,116.06929138183594,114.950712890625,10.0,109.16333620402983,104.51008702007755,1,217.0846548446138,217.51882415430305,216.65048553492457,217.0846548446138,10000.0,73.59742415893396,209.0771174072507,1,0.9224237756824601,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,0,1,0,0,0,0.0
2014-11-14,115.83000183105467,116.80899810791016,115.75,115.8239974975586,0,1.538928440638949,0.0014281256575328267,0.6881399290213065,-0.003901632679935784,1.538928440638949,87.12971745096348,109.42453860769763,2.179411230959957,67.21597608920555,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,0,0,0,0,20.0,1.0,2.2650286395302515,1,0,0,0,1,0,115.59500122070312,115.83200073242188,115.33300018310547,116.09400177001953,115.09600067138672,115.59500122070312,115.785619430542,115.40438301086425,115.90338356018066,115.28661888122559,10.0,109.42453860769763,104.62266324373408,1,213.23218838483288,213.65865276160253,212.8057240080632,213.23218838483288,10000.0,59.71111863105411,209.2400613671559,1,0.903223492054262,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11,0,0,0,1,0,0,0,0.0
2014-11-17,116.8249969482422,116.8249969482422,115.4800033569336,116.89600372314452,0,1.6005706787109364,0.00578260997348537,0.8403212736546164,0.04436341103005997,1.6005706787109364,91.23618012217302,109.71753723967593,2.2722123871260322,72.191598671645,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,0,0,0,0,19.0,1.0,2.5002209478663433,1,0,0,0,1,0,116.12766520182292,116.50533040364584,115.44633229573569,117.18666330973308,115.06866709391277,116.12766520182292,116.5322024790446,115.72312792460124,116.7821260325114,115.47320437113444,10.0,109.71753723967593,104.74478603457399,1,212.42256374757272,212.84740887506783,211.9977186200776,212.42256374757272,10000.0,59.07488652635323,209.3648653820742,1,0.866567523311475,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,0,1,0,0,0,0.0
2014-11-18,116.6259994506836,116.9990005493164,116.38700103759766,116.64600372314452,0,1.6164278302873873,-0.0013230736650261265,0.37861233285617313,0.012375605075648008,1.6164278302873873,88.93955185899213,109.98924180765509,2.2990826674598424,77.64067009969285,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,114.9520034790039,114.7490005493164,106.6989974975586,106.3290023803711,0,0,0,0,19.0,1.0,2.4453723138932655,1,0,0,0,1,0,116.40033467610677,117.32066599527994,115.97567240397133,117.74532826741537,115.05534108479816,116.40033467610677,116.91412222798665,115.88654712422688,117.23154071553549,115.56912863667804,10.0,109.98924180765509,104.86320611107719,1,211.08442304609227,211.50659189218445,210.6622542000001,211.08442304609227,10000.0,54.56702960038658,209.43229901595728,1,0.8274818760679333,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0,0,0,1,0,0,0,0.0
2014-11-19,116.85700225830078,117.75599670410156,116.85700225830078,116.86900329589844,0,1.6109989711216528,0.001186694428630193,0.5580353941348947,0.007449438399889583,1.6109989711216528,88.3985449616632,110.2590363758215,2.311723648824696,82.27403283948806,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,1,0,116.85700225830078,116.8249969482422,106.6989974975586,106.3290023803711,116.85700225830078,116.8249969482422,106.6989974975586,106.3290023803711,1,0,0,0,20.0,1.0,2.4942972016617957,1,0,0,0,1,0,116.67733510335286,116.96766916910806,116.35566965738931,117.28933461507161,116.06533559163411,116.67733510335286,116.91111891682942,116.4435512898763,117.05555080159505,116.29911940511067,30.0,110.2590363758215,104.98266677958287,1,211.9976703876248,212.4216657284001,211.57367504684956,211.9976703876248,10000.0,49.362318105293305,209.5329018148462,1,0.799386133186917,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11,0,0,0,1,0,0,0,0.0
2014-11-20,118.13899993896484,118.96900177001952,117.7760009765625,118.14800262451172,0,1.5026419503348214,0.007283086484365806,0.7939355035251016,0.005991237995764064,1.5026419503348214,89.33001264735375,110.56840760126033,2.397311559027571,84.52143945410687,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,1,0,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,1,0,0,0,21.0,1.0,2.7749026657694844,1,0,0,0,1,0,117.1606674194336,117.4643325805664,116.56533813476562,118.05966186523438,116.26167297363281,117.1606674194336,117.5040832977295,116.8172515411377,117.71624598693847,116.60508885192871,30.0,110.56840760126033,105.11366514619908,1,212.4316045576412,212.85646776675648,212.00674134852596,212.4316045576412,10000.0,42.06732309718858,209.64657643221074,1,0.7673532135507055,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,0,1,0,0,0,0.0
2014-11-21,118.23999786376952,118.23999786376952,117.38099670410156,118.23600006103516,0,1.2088563101632235,0.0006161251756640799,0.7105899621369968,-0.0033070950622915585,1.2088563101632235,84.49924037886406,110.86909750164367,2.444067562709435,84.4925323495764,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,1,0,0,0,20.0,1.0,2.794208822515257,1,0,0,0,1,0,118.29766845703125,118.8193359375,117.62633514404298,119.49066925048827,117.10466766357423,118.29766845703125,118.75339476013183,117.84194215393067,119.03494294738769,117.56039396667481,30.0,110.86909750164367,105.24423564286413,1,211.59232685573863,212.0155115094501,211.1691422020272,211.59232685573863,10000.0,38.86952687565865,209.7228803703883,1,0.7277191503084214,1,0.0,0.0,0.0,0.0,0.0,0.6291306520694031,0.0,0.6291306520694031,0.6291306520694031,0.5315684197208413,0.6291306520694031,0.0,4,11,0,0,0,1,0,0,0,0.0
2014-11-24,117.7300033569336,118.47200012207033,117.59700012207033,117.74400329589844,0,1.2051424298967623,-0.003452821610372809,0.7260552597712091,0.01161683351074366,1.2051424298967623,77.29209559103873,111.13870165043797,2.4135995323329524,84.08681285529522,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,1,0,0,0,19.0,1.0,2.6862674205675683,1,0,0,0,1,0,117.95233154296875,118.52366638183594,117.66466522216798,118.8113327026367,117.0933303833008,117.95233154296875,118.28046998596191,117.62419309997559,118.48319425964354,117.42146882629396,30.0,111.13870165043797,105.36861144040675,1,212.408891322203,212.8337091048474,211.9840735395586,212.408891322203,10000.0,36.37542775130772,209.8282141332046,1,0.7037471136909379,1,0.0,0.0,0.0,0.0,0.0,9.157291583238297e-12,0.0,9.157291583238297e-12,9.157291583238297e-12,7.700074636211288e-12,9.157291583238297e-12,0.0,0,11,0,0,0,1,0,0,0,0.0
2014-11-25,118.40799713134766,118.42400360107422,117.69400024414062,118.4540023803711,0,1.1612140110560816,0.005192861309341372,0.6286553124429514,0.039618234524743126,1.1612140110560816,80.90974259581304,111.42557618886673,2.418861264191534,81.71784766597791,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,1,0,0,0,18.0,1.0,2.8420373401894126,1,0,0,0,1,0,117.93766784667969,118.27833557128905,117.40333557128905,118.81266784667969,117.06266784667969,117.93766784667969,118.27191784667968,117.60341784667969,118.47841784667969,117.39691784667968,30.0,111.42557618886673,105.49881433533177,1,212.29746550117733,212.7220604321797,211.87287057017497,212.29746550117733,10000.0,26.502703392833155,209.9250475201839,1,0.6698164726264492,1,0.0,0.0,0.0,0.0,0.0,2.2351212065832447e-15,0.0,2.2351212065832447e-15,2.2351212065832447e-15,1.8264929427456636e-15,2.2351212065832447e-15,0.0,1,11,0,0,0,1,0,0,0,0.0
2014-11-26,117.81999969482422,117.88200378417967,117.44400024414062,117.8010025024414,0,1.0914998735700314,-0.005050561582244305,0.4012859283313015,-0.017404667506444402,1.0914998735700314,70.9064305248396,111.67559290704614,2.343327174796414,78.36531723002972,110.05799865722656,105.5,110.05799865722656,105.5,110.05799865722656,0,0,0,1.0,0,0,109.1969985961914,112.46299743652344,0.0,0,112.46299743652344,109.1969985961914,79.01100158691406,78.36000061035156,0,0,0,0,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,117.7760009765625,116.9990005493164,106.6989974975586,106.3290023803711,1,0,0,0,17.0,1.0,2.698772735033293,1,0,0,0,1,0,118.19066874186198,118.68733723958334,117.95733388264975,118.92067209879558,117.46066538492839,118.19066874186198,118.46953002421061,117.91180745951335,118.64181081644695,117.73952666727702,30.0,111.67559290704614,105.62122416784032,1,212.8192847528176,213.2449233223232,212.393646183312,212.8192847528176,10000.0,26.80178698233948,210.0385470195029,1,0.6401617440781053,1,0.0,0.0,0.0,0.0,0.0,5.456838558086359e-19,0.0,5.456838558086359e-19,5.456838558086359e-19,4.276268846774954e-19,5.456838558086359e-19,0.0,2,11,0,0,0,1,0,0,0,0.0
