time,open,high,low,close,tick_volume,spread,real_volume
2026-03-30 19:45:00,4548.23,4548.82,4536.61,4539.84,5510,4,0
2026-03-30 20:00:00,4539.82,4542.22,4519.45,4522.71,5948,4,0
2026-03-30 20:15:00,4522.71,4530.67,4520.14,4527.68,5674,4,0
2026-03-30 20:30:00,4527.68,4527.68,4514.89,4524.36,6497,4,0
2026-03-30 20:45:00,4524.36,4528.65,4511.25,4515.1,5397,4,0
2026-03-30 21:00:00,4515.1,4523.11,4513.13,4518.88,5322,4,0
2026-03-30 21:15:00,4518.88,4521.38,4511.46,4513.84,4919,4,0
2026-03-30 21:30:00,4513.84,4519.49,4512.37,4515.38,4344,4,0
2026-03-30 21:45:00,4515.37,4518.74,4498.31,4498.97,5439,4,0
2026-03-30 22:00:00,4498.97,4504.97,4493.36,4497.74,6778,4,0
2026-03-30 22:15:00,4497.74,4504.26,4493.05,4501.73,5628,4,0
2026-03-30 22:30:00,4501.73,4512.96,4498.1,4504.96,5783,4,0
2026-03-30 22:45:00,4504.95,4518.39,4503.97,4513.61,5180,4,0
2026-03-31 01:00:00,4510.33,4523.0,4507.59,4508.51,2493,4,0
2026-03-31 01:15:00,4508.51,4514.73,4502.22,4514.43,2460,4,0
2026-03-31 01:30:00,4514.43,4518.86,4508.38,4508.83,2040,4,0
2026-03-31 01:45:00,4508.82,4515.15,4508.48,4510.87,2021,4,0
2026-03-31 02:00:00,4510.87,4510.87,4492.32,4498.79,4475,4,0
2026-03-31 02:15:00,4498.79,4510.07,4497.78,4505.28,3312,4,0
2026-03-31 02:30:00,4505.28,4519.43,4503.91,4518.37,3248,4,0
2026-03-31 02:45:00,4518.37,4521.22,4507.69,4513.74,3308,4,0
2026-03-31 03:00:00,4513.74,4528.38,4510.65,4516.16,5395,4,0
2026-03-31 03:15:00,4516.16,4518.35,4482.59,4512.0,6328,4,0
2026-03-31 03:30:00,4512.0,4537.55,4506.68,4536.72,6337,4,0
2026-03-31 03:45:00,4536.65,4548.25,4535.33,4547.74,7210,4,0
2026-03-31 04:00:00,4547.74,4550.79,4532.03,4543.82,7241,4,0
2026-03-31 04:15:00,4543.86,4585.72,4543.48,4581.45,7155,4,0
2026-03-31 04:30:00,4581.5,4619.05,4577.76,4617.8,7374,4,0
2026-03-31 04:45:00,4617.8,4619.5,4596.12,4605.02,7268,4,0
2026-03-31 05:00:00,4605.02,4607.26,4588.74,4589.97,6360,4,0
2026-03-31 05:15:00,4589.97,4592.66,4578.79,4582.65,5237,4,0
2026-03-31 05:30:00,4582.65,4588.38,4579.01,4587.0,5700,4,0
2026-03-31 05:45:00,4586.96,4588.0,4565.59,4568.18,6210,4,0
2026-03-31 06:00:00,4568.2,4576.9,4565.97,4569.85,5427,4,0
2026-03-31 06:15:00,4569.84,4571.14,4556.1,4561.57,5158,4,0
2026-03-31 06:30:00,4561.57,4565.8,4550.63,4552.39,4089,4,0
2026-03-31 06:45:00,4552.39,4557.38,4550.26,4557.03,3633,4,0
2026-03-31 07:00:00,4557.03,4565.92,4557.03,4557.57,3540,4,0
2026-03-31 07:15:00,4557.57,4569.45,4557.15,4561.43,3782,4,0
2026-03-31 07:30:00,4561.43,4565.18,4559.99,4564.06,3408,4,0
2026-03-31 07:45:00,4564.06,4569.01,4561.08,4564.87,3657,4,0
